Feature Name,Cluster 0 CD,Cluster 1 CD
APBB1IP,0.013433084900475949,-0.013433084900475916
APEX1,0.022153468870447595,-0.022153468870447585
APH1A,-0.006814985182633908,0.0068149851826339375
APLP2,-0.019087554748361688,0.019087554748361744
APMAP,0.01149679280319347,-0.011496792803193372
APOBR,0.0005863316357080607,-0.0005863316357081148
APOL3,0.005335271129304553,-0.005335271129304533
APOL6,-0.052577996328092416,0.05257799632809241
APP,0.010310073118655366,-0.010310073118655238
APRT,-0.005544082805772198,0.005544082805772012
ARAF,0.018737145516741844,-0.0187371455167417
ARAP1,0.0194737788656648,-0.019473778865665058
ARCN1,-0.015621448008284836,0.015621448008285006
ARF1,-0.005265903914410017,0.005265903914409922
ARF5,0.015871642990184436,-0.01587164299018425
ARF6,0.016983102570593378,-0.01698310257059359
ARFGAP1,0.016352796397918236,-0.016352796397918454
